,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX,AAPL,AMZN,MSFT,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,24.6527099609375,14.862500190734863,40.19123840332031,58.468570709228516,27.387500762939453,14.862500190734863,45.91999816894531,58.468570709228516,27.764999389648438,15.300000190734863,46.13999938964844,59.2400016784668,27.0674991607666,14.36299991607666,45.47999954223633,57.40999984741211,27.237499237060547,14.482000350952148,45.939998626708984,59.23428726196289,194303600,201302000,39081100,66902500
2015-01-22,25.294065475463867,15.515999794006348,41.250282287597656,61.20571517944336,28.100000381469727,15.515999794006348,47.130001068115234,61.20571517944336,28.11750030517578,15.612500190734863,47.13999938964844,61.37428665161133,27.43000030517578,15.0,46.08000183105469,57.82857131958008,27.565000534057617,15.0,46.380001068115234,58.57143020629883,215185600,107252000,35898000,33319300
2015-01-23,25.424589157104492,15.619500160217285,41.29405975341797,62.494285583496094,28.2450008392334,15.619500160217285,47.18000030517578,62.494285583496094,28.4375,15.846500396728516,47.38999938964844,62.74285888671875,27.88249969482422,15.38599967956543,46.79999923706055,60.88142776489258,28.075000762939453,15.404000282287598,47.36000061035156,60.98857116699219,185859200,89928000,26211600,26784100
2015-01-26,25.45159339904785,15.482999801635742,41.145240783691406,63.79428482055664,28.274999618530273,15.482999801635742,47.0099983215332,63.79428482055664,28.59000015258789,15.649999618530273,47.130001068115234,63.8985710144043,28.200000762939453,15.37600040435791,46.2400016784668,61.9571418762207,28.434999465942383,15.590999603271484,47.0,62.57143020629883,222460000,63394000,42525500,21268800
2015-01-27,24.560447692871094,15.337499618530273,37.33794021606445,64.88143157958984,27.28499984741211,15.337499618530273,42.65999984741211,64.88143157958984,28.1200008392334,15.51200008392334,43.20000076293945,65.33999633789062,27.25749969482422,15.131500244140625,42.11000061035156,63.04999923706055,28.104999542236328,15.3149995803833,42.95000076293945,63.08714294433594,382274800,58406000,169164000,24612700
2015-01-28,25.948917388916016,15.195500373840332,36.051326751708984,63.20857238769531,28.827499389648438,15.195500373840332,41.189998626708984,63.20857238769531,29.530000686645508,15.575499534606934,42.790000915527344,64.82142639160156,28.827499389648438,15.1899995803833,41.15999984741211,63.08142852783203,29.407499313354492,15.490500450134277,42.7400016784668,64.7414321899414,585908400,61276000,84507100,24532900
2015-01-29,26.75680160522461,15.58899974822998,36.76902389526367,63.400001525878906,29.725000381469727,15.58899974822998,42.0099983215332,63.400001525878906,29.797500610351562,15.640000343322754,42.119998931884766,63.92714309692383,28.889999389648438,14.966500282287598,40.790000915527344,62.5,29.079999923706055,15.236499786376953,40.93000030517578,63.20428466796875,337745600,173132000,63585300,15127700
2015-01-30,26.3652400970459,17.726499557495117,35.359886169433594,63.11428451538086,29.290000915527344,17.726499557495117,40.400001525878906,63.11428451538086,30.0,17.975000381469727,41.58000183105469,63.98428726196289,29.212499618530273,17.03700065612793,40.349998474121094,62.65571212768555,29.600000381469727,17.31599998474121,41.54999923706055,63.13285827636719,334982000,477122000,78004900,13215300
2015-02-02,26.69603729248047,18.223499298095703,36.13010787963867,63.0099983215332,29.657499313354492,18.223499298095703,41.279998779296875,63.0099983215332,29.792499542236328,18.25,41.369998931884766,63.42856979370117,29.020000457763672,17.500499725341797,40.22999954223633,61.95571517944336,29.512500762939453,17.502500534057617,40.59000015258789,62.842857360839844,250956400,204638000,50352500,12990600
2015-02-03,26.700538635253906,18.177499771118164,36.41018295288086,65.27428436279297,29.662500381469727,18.177499771118164,41.599998474121094,65.27428436279297,29.772499084472656,18.391000747680664,41.93000030517578,65.4671401977539,29.40250015258789,18.010499954223633,41.04999923706055,62.72999954223633,29.625,18.01449966430664,41.630001068115234,63.31999969482422,207662800,124252000,52082400,16440200
2015-02-04,26.90532684326172,18.237499237060547,36.62023162841797,64.10143280029297,29.889999389648438,18.237499237060547,41.84000015258789,64.10143280029297,30.127500534057617,18.375,42.209999084472656,65.17428588867188,29.577499389648438,17.911500930786133,41.36000061035156,63.88999938964844,29.625,17.91900062561035,41.939998626708984,65.04142761230469,280598800,83398000,41614800,12450900
2015-02-05,27.097362518310547,18.694499969482422,37.154144287109375,64.12999725341797,29.985000610351562,18.694499969482422,42.45000076293945,64.12999725341797,30.0575008392334,18.940000534057617,42.63999938964844,65.1385726928711,29.8125,18.295000076293945,41.86000061035156,63.665714263916016,30.0049991607666,18.299999237060547,42.220001220703125,64.54142761230469,168984800,144952000,36548200,14248500
2015-02-06,26.86917495727539,18.714000701904297,37.11912536621094,63.47999954223633,29.732500076293945,18.714000701904297,42.40999984741211,63.47999954223633,30.0625,18.79949951171875,42.790000915527344,64.42857360839844,29.612499237060547,18.550500869750977,42.150001525878906,63.17571258544922,30.0049991607666,18.743499755859375,42.68000030517578,64.25,174826400,77848000,34616600,8898400
2015-02-09,27.047657012939453,18.527999877929688,37.07535934448242,63.29571533203125,29.93000030517578,18.527999877929688,42.36000061035156,63.29571533203125,29.959999084472656,18.720500946044922,42.7400016784668,63.78571319580078,29.607500076293945,18.360000610351562,42.209999084472656,62.637142181396484,29.637500762939453,18.549999237060547,42.2400016784668,63.198570251464844,155559200,54492000,31381100,8173200
2015-02-10,27.56728744506836,18.649999618530273,37.28543472290039,64.8499984741211,30.5049991607666,18.649999618530273,42.599998474121094,64.8499984741211,30.537500381469727,18.71500015258789,42.77000045776367,65.15714263916016,30.040000915527344,18.425500869750977,42.18000030517578,63.1014289855957,30.042499542236328,18.559499740600586,42.7400016784668,63.459999084472656,248034000,45744000,29670700,15418900
2015-02-11,28.213428497314453,18.756999969482422,37.092872619628906,64.98428344726562,31.219999313354492,18.756999969482422,42.380001068115234,64.98428344726562,31.229999542236328,18.854999542236328,42.650001525878906,66.14142608642578,30.625,18.55500030517578,42.209999084472656,64.55714416503906,30.6924991607666,18.561500549316406,42.650001525878906,64.83000183105469,294247200,55730000,38262500,13953100
2015-02-12,28.57038116455078,18.85849952697754,37.71430206298828,65.24714660644531,31.614999771118164,18.85849952697754,43.09000015258789,65.24714660644531,31.8700008392334,18.925500869750977,43.09000015258789,65.60713958740234,31.392499923706055,18.657499313354492,42.5099983215332,64.45143127441406,31.514999389648438,18.7549991607666,42.65999984741211,65.0585708618164,297898000,55822000,33268800,8464400
